node,nodeId,nodeOrder,start,end,duration,state,workId,agvId
Underbody Main Weld #3,3,2,17360.100,17365.100,5.000,process,1243,
Underbody Main Weld #3,3,2,17365.100,17372.100,7.000,wait,1243,
Underbody Main Weld #3,3,2,17372.100,17375.100,3.000,down,1243,
Underbody Main Weld #3,3,2,17375.100,17379.100,4.000,process,1244,
Underbody Main Weld #3,3,2,17379.100,17386.100,7.000,wait,1244,
Underbody Main Weld #3,3,2,17386.100,17388.100,2.000,down,1244,
Underbody Main Weld #3,3,2,17388.100,17393.100,5.000,process,1245,
Underbody Main Weld #3,3,2,17393.100,17400.100,7.000,wait,1245,
Underbody Main Weld #3,3,2,17400.100,17403.100,3.000,down,1245,
Underbody Main Weld #3,3,2,17403.100,17407.100,4.000,process,1246,
Underbody Main Weld #3,3,2,17407.100,17414.100,7.000,wait,1246,
Underbody Main Weld #3,3,2,17414.100,17416.100,2.000,down,1246,
Underbody Main Weld #3,3,2,17416.100,17421.100,5.000,process,1247,
Underbody Main Weld #3,3,2,17421.100,17428.100,7.000,wait,1247,
Underbody Main Weld #3,3,2,17428.100,17431.100,3.000,down,1247,
Underbody Main Weld #3,3,2,17431.100,17435.100,4.000,process,1248,
Underbody Main Weld #3,3,2,17435.100,17442.100,7.000,wait,1248,
Underbody Main Weld #3,3,2,17442.100,17444.100,2.000,down,1248,
Underbody Main Weld #3,3,2,17444.100,17448.900,4.800,process,1249,
Side/Roof Weld #4,4,3,16848.900,16851.100,2.200,wait,1205,
Side/Roof Weld #4,4,3,16851.100,16854.100,3.000,down,1205,
Side/Roof Weld #4,4,3,16854.100,16858.100,4.000,process,1206,
Side/Roof Weld #4,4,3,16858.100,16866.100,8.000,wait,1206,
Side/Roof Weld #4,4,3,16866.100,16868.100,2.000,down,1206,
Side/Roof Weld #4,4,3,16868.100,16873.100,5.000,process,1207,
Side/Roof Weld #4,4,3,16873.100,16879.100,6.000,wait,1207,
Side/Roof Weld #4,4,3,16879.100,16882.100,3.000,down,1207,
